	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YAL063C	FLO9	6.05	3.79	13.48	5.85	4.52	0.23	2.4
YAL060W	BDH1	16.17	36.31	48.3	6.38	4.24	10.94	18.07
YAL059W	ECM1	12.43	13.85	29.2	10.14	9.65	8.25	12.37
YAL058W	CNE1	23.46	27.43	39	16.11	11.48	11.21	13.75
YAL056W	GPB2	9.78	7.18	41.63	8.4	6.16	8.23	11.28
YAL055W	PEX22	9.66	6.86	29.17	6.98	9.98	6.69	8.4
YAL054C	ACS1	15.81	20.59	78.94	2.32	4.75	20.43	24.69
YAL053W	FLC2	10.58	9.14	27.5	3.75	2.73	4.5	6.33
YAL051W	OAF1	5.51	5.11	20.97	7.29	3.51	2.38	5.04
YAL049C	YAL049C	18.33	16.88	55.98	18.92	12.35	7.68	8.23
YAL046C	YAL046C	23.04	30.63	13.68	6.09	1.33	5.33	4.7
YAL044C	GCV3	103.33	73.76	82.79	18.22	15.47	11.77	34.75
YAL043C	PTA1	39.22	37.62	94.66	13.03	18.89	18.58	37.51
YAL042W	ERV46	41.44	68.5	67.56	19.33	19.83	28.04	35.6
YAL041W	CDC24	7.33	7.56	20.91	3.91	2	4.02	8.37
YAL039C	CYC3	5.48	9.61	22.05	6.91	14.23	10.88	12.96
YAL038W	CDC19	66.95	51.36	-293.8	59.48	0.23	6.4	1239.29
YAL036C	RBG1	20.12	18.44	93.27	36.51	20.37	34.94	46.78
YAL035W	FUN12	27.31	35.32	33.03	17.19	14.92	15.87	14.35
YAL034W-A	MTW1	4.82	6.74	37.62	17.37	3.85	0.23	4.02
YAL034C	FUN19	4.22	5.57	14.15	0.23	2.44	5.96	8.23
YAL033W	POP5	15.37	15.69	48.87	19.15	20.49	7.73	14.4
YAL032C	PRP45	7.1	7.46	18.31	6.51	0.23	0.23	3.73
YAL031C	GIP4	3.86	6.39	17.38	3.7	0.23	0.23	3.03
YAL030W	SNC1	33.42	41.77	39.19	11.93	10.38	6.17	14.21
YAL029C	MYO4	13.57	13.89	32.66	11.71	8.1	7.1	11.63
YAL027W	YAL027W	5.75	5.83	53.42	7.21	5.47	3.98	4.76
YAL026C	DRS2	14.61	24.66	21.05	7.75	20.06	20.1	6.95
YAL025C	MAK16	6.79	5.78	38.53	22.37	15.17	17.17	13.55
YAL024C	LTE1	6.91	5.09	42.7	14.69	8.09	0.23	2.55
YAL023C	PMT2	33.61	38.37	50.77	14.51	10.92	15.66	15.67
YAL022C	FUN26	17.22	20.53	58.45	29.39	20.93	19.72	23.89
YAL020C	ATS1	11.76	12.53	74.33	37.29	29.67	16.64	17.31
YAL019W	FUN30	13.71	16.19	30.32	12.66	13.1	11.99	5.54
YAL017W	PSK1	11.08	11.02	30.44	11.53	1.11	4.16	7.51
YAL016W	TPD3	19.88	21.17	161.24	19.78	7.53	14.34	30.63
YAL015C	NTG1	15.5	20.01	42.73	4.39	9.85	14.28	18.2
YAL014C	SYN8	9.93	11.39	44.79	7.85	6.36	9.14	9.41
YAL013W	DEP1	5.31	8.4	26.35	5.07	17.69	23.93	10.13
YAL012W	CYS3	35.97	33.65	143.66	34.07	17.66	18.62	106.06
YAL011W	SWC3	7.24	6.18	28.67	2.81	3.63	7.21	7.09
YAL010C	MDM10	6.35	7.32	20.31	0.65	2.55	5.29	6.68
YAL009W	SPO7	17.99	18.73	64.58	9.69	21.2	26.39	20.14
YAL008W	FUN14	23.48	23.47	49.23	11.26	26.12	29.52	20.39
YAL007C	ERP2	41.44	38.17	54	23.1	15.27	19.13	20.86
YAL005C	SSA1	127.65	352.87	32.57	9.99	0.23	7.54	69.26
YAL003W	EFB1	37.46	33.88	68.82	26.49	3.75	7.41	62.25
YAL002W	VPS8	5.11	5.57	18.73	0.23	0.23	1.14	5.62
YAL001C	TFC3	10.35	14.11	22.09	3.16	12.5	13.51	8.06
YAR002W	NUP60	10.01	12.67	17.15	5.29	7.99	8.34	10.88
YAR002C-A	ERP1	73.09	53.81	52.84	23.74	20.48	17.2	35.76
YAR003W	SWD1	9.6	12.17	287.28	17.46	47.57	44.58	25.06
YAR007C	RFA1	14.85	18.92	37.2	10.76	8.28	12.51	10.54
YAR008W	SEN34	6.66	8.72	39.99	13.29	13.1	5.83	5.29
YAR014C	BUD14	8.89	11.78	38.01	19.94	14.2	11.62	9.68
YAR015W	ADE1	27.2	29.72	44.27	26.55	31.86	18.74	23.62
YAR018C	KIN3	10.29	13.68	96.63	37.97	35.88	55.06	18.27
YAR019C	CDC15	7.03	7.08	19.55	8.29	5.34	1.49	4.54
YAR027W	UIP3	9.96	15.63	55.73	8.38	7.17	8.62	9.72
YAR031W	PRM9	177.59	370.77	-200.2	142.07	17.06	44.52	68.37
YAR033W	MST28	12.92	13.45	63.2	17.1	8.91	17.48	19.71
YAR042W	SWH1	8.35	7.34	26.26	13.02	19.41	3.92	5.26
YAR071W	PHO11	5.08	12.08	35.7	16.96	11.65	6.94	3.61
YBL105C	PKC1	7.97	10.61	26.35	12.55	14.91	9.86	5.31
YBL103C	RTG3	6.27	6.02	48.43	14.35	2.67	4.32	6.39
YBL102W	SFT2	23.9	27.09	51.14	20.51	16.47	14.09	12.94
YBL101C	ECM21	10.89	10.87	31.9	5.97	5.81	5.39	7.03
YBL099W	ATP1	34.65	50.48	64.17	22.63	8.67	15.57	31.59
YBL098W	BNA4	73.76	62.14	428.34	47.82	33.97	42.11	47.43
YBL093C	ROX3	10.22	8.94	14.74	2.08	5.81	8.45	12.28
YBL091C-A	SCS22	22.93	27.48	16.63	3.36	4.85	5.64	5.75
YBL091C	MAP2	65.18	69.97	289	38.83	35.32	48.36	145.52
YBL090W	MRP21	5.8	9.93	21.15	3.88	6.48	2.47	2.44
YBL089W	AVT5	6.73	8.1	38.14	8.86	5.38	4.1	5.48
YBL088C	TEL1	9.12	6.47	15.74	4.23	7.47	0.23	0.23
YBL085W	BOI1	11.3	9.41	36.51	8.42	1.64	4.63	7.1
YBL084C	CDC27	5.33	6.78	44.25	18.07	8.19	2.36	4.23
YBL082C	ALG3	16.59	20.79	49.63	25.98	26.18	21.83	15.41
YBL079W	NUP170	12.47	15	23.49	8.82	5.1	6.06	7.73
YBL078C	ATG8	0.23	5.63	19.61	5.11	3.8	1.5	0.23
YBL076C	ILS1	17.02	29.03	63.88	21.33	19.81	26.15	28.25
YBL075C	SSA3	4.65	4.73	19.47	2.14	4.12	5.93	10.25
YBL069W	AST1	9.78	10.97	24.71	6.61	31.49	19.32	9.59
YBL068W	PRS4	16.1	18.84	46.68	20.63	41.07	27.96	18.68
YBL067C	UBP13	18.81	20.27	39.16	12.9	16.11	11.35	7.25
YBL064C	PRX1	27.73	55.71	83.35	2.2	7.3	12.22	32.24
YBL063W	KIP1	8.29	6.47	29.84	4.08	6.92	3.45	3.08
YBL061C	SKT5	6.78	12.32	29.68	15.68	11	11.56	12.38
YBL059C-A	YBL059C-A	4.68	9.18	5.55	0.23	4.06	1.9	0.23
YBL058W	SHP1	14.81	25.52	26.05	8.27	13.86	12.85	17.77
YBL057C	PTH2	23.88	23.39	42.67	9.87	13.1	11.76	17.31
YBL056W	PTC3	18.17	18.59	724.23	24.16	16.44	15.73	14.04
YBL055C	YBL055C	9.36	11.61	35.4	18.27	20.37	33.15	31.04
YBL054W	YBL054W	7	7.73	37.81	18.15	16.41	13.69	20.61
YBL052C	SAS3	8.91	11.79	20.07	11.25	8.96	9.45	4.12
YBL051C	PIN4	11.32	11.05	52.06	9.33	3.03	6.04	12.48
YBL050W	SEC17	21.12	34.77	41.79	14.86	16	12.8	23.76
YBL047C	EDE1	28.75	21.27	39.62	13.09	7.22	6.81	12
YBL046W	PSY4	6.42	7.36	43.27	15.21	9.37	9.16	7.61
YBL045C	COR1	21.15	28.3	114.68	19.67	13.75	20.95	35.18
YBL042C	FUI1	7.05	8.97	46.04	5.82	4.9	10.08	9.95
YBL041W	PRE7	13.21	13.75	36.39	8.92	9.25	10.44	11.63
YBL040C	ERD2	19.91	18.72	70.67	19.13	7.86	10.94	13.12
YBL039C	URA7	27.14	25.05	58.24	31.71	17.84	33.34	51.59
YBL038W	MRPL16	6.64	6.84	15.24	2.33	6.07	4.45	7.15
YBL037W	APL3	8.99	6.82	21.84	5.8	5.03	2.55	6.03
YBL036C	YBL036C	17.05	17.01	66.31	22.5	22.45	16.98	14.28
YBL035C	POL12	7.71	8.63	25.36	18.33	12.56	8.78	7.72
YBL034C	STU1	8.63	6.4	20.37	4.73	2.89	1.71	7.26
YBL033C	RIB1	7.91	7.77	27.23	2.82	5.15	11.09	9.74
YBL032W	HEK2	31.31	38.71	102.72	19.09	18.8	29.82	30.71
YBL031W	SHE1	5.32	5.31	21.04	5.19	2.36	1.92	5.25
YBL030C	PET9	36.18	30.75	153.84	26.27	13.01	20.13	35.88
YBL026W	LSM2	13.85	11.37	16.94	8.5	8.13	5.16	7.15
YBL024W	NCL1	18.75	24.91	31.87	13.17	9.27	12.36	14.56
YBL023C	MCM2	9.4	10.97	28.42	16.35	16.55	6.56	7.27
YBL022C	PIM1	17.63	19.48	46.76	11.22	7.78	7.51	8.16
YBL021C	HAP3	2.03	3.88	18.51	5.08	6.98	5.29	2
YBL020W	RFT1	14.25	20.15	40.83	13.84	4.64	5.59	7.4
YBL018C	POP8	11.37	12.66	35.14	16.22	24.54	8.71	5.29
