	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YAL063C	FLO9	8.55	16.3	2.59	3.3	4.13	84.9	10.3
YAL060W	BDH1	8.86	10.39	7.1	53.48	211.86	107.24	42.21
YAL059W	ECM1	27.5	24.86	7.32	15.65	11.24	8.72	4.62
YAL058W	CNE1	4.78	5.13	2.31	4.42	7.01	5.35	2.61
YAL056W	GPB2	11.39	13.05	2.62	5.88	10.98	9.91	13.2
YAL055W	PEX22	11.4	15.85	4.57	14.63	11.15	18.87	16.53
YAL054C	ACS1	2.89	3.01	1.01	19.63	20.75	6.54	4.75
YAL053W	FLC2	11.53	18.5	4.79	24.49	54.64	35.46	21.26
YAL051W	OAF1	16.95	18.09	3.13	4.76	13.51	25.13	16.2
YAL049C	YAL049C	16.94	18.17	8.55	15.04	23.12	33.9	25.84
YAL046C	YAL046C	5.98	6.14	8.8	16.86	80.31	21.53	17.32
YAL044C	GCV3	19.35	26.21	41.18	85.39	79.68	91.65	35.8
YAL043C	PTA1	7.79	9.27	5.92	21.51	22.69	21.24	10.93
YAL042W	ERV46	16.78	14.81	17.44	41.11	37.9	23.19	16.82
YAL041W	CDC24	20.26	19.76	3.99	18.49	62.73	42.22	22.77
YAL039C	CYC3	8.55	8.47	2.14	8.45	5.99	4.86	2.48
YAL038W	CDC19	165.59	124.01	173.15	294.23	21762.63	737.35	166.34
YAL036C	RBG1	47.58	50.07	19.22	28.41	36.18	17.25	10.44
YAL035W	FUN12	59.08	48.15	40.01	61.85	78.89	52.4	32.71
YAL034W-A	MTW1	9.07	8.74	1.08	1.34	3.8	70.66	5.76
YAL034C	FUN19	17.8	16.34	5.78	548.97	280.06	145.24	68.11
YAL033W	POP5	18.81	16.93	6.26	9.71	6.06	11.53	7.01
YAL032C	PRP45	8.33	7.35	2.29	5.64	254.64	360.35	27.22
YAL031C	GIP4	15.18	11.25	2.97	8.06	209.96	284.44	30.48
YAL030W	SNC1	8.99	7.94	9.14	18.06	25.14	50.96	26.28
YAL029C	MYO4	31.87	28.6	10.55	18.73	26.67	34.79	19.53
YAL027W	YAL027W	5.86	6.5	0.88	2.72	5.32	8.75	8.68
YAL026C	DRS2	8.44	10.31	4.8	10.83	9.22	8.14	8.79
YAL025C	MAK16	20.43	25.96	2.66	3.11	3.06	1.44	1.13
YAL024C	LTE1	8.5	11.22	1.29	1.15	0.65	9.91	5.8
YAL023C	PMT2	23.92	24.1	19.09	43.63	55.11	27.38	17.79
YAL022C	FUN26	13.67	13.43	5.45	7.77	9.24	6.2	3.81
YAL020C	ATS1	8.9	8.07	2.07	2.2	2.69	4.25	4.37
YAL019W	FUN30	11	11.73	2.77	4.8	4.6	3.86	6.58
YAL017W	PSK1	12.38	13.68	4.58	7.8	96.17	44.93	26.31
YAL016W	TPD3	33.45	28.37	11.39	32.49	83.47	50.94	32.16
YAL015C	NTG1	3.08	3.08	2.18	16.32	17.73	13.78	7.75
YAL014C	SYN8	33.61	31.03	10.04	33.18	56.12	39.95	37.63
YAL013W	DEP1	18.96	18.17	3.86	20.58	14.63	11.26	15.11
